Projeto;Tipo de Serviço;Data Prog.;Status;Intervenção;PowerON;Equipamento;Horário Início;Horário Fim;Parceira;Região;Latitude;Longitude;Link Google Maps URL;Link My Maps URL
DAC/A.ABC.26.00003;Migração para Média Tensão;01/08/2026;Liberado para Execução;FI;16533249;020ET013027;00:30;04:30;Start Engenharia (Área 8B, 9  e 11) NEC;ABC;-23.72867316;-46.43069787;https://www.google.com/maps/search/?api=1&query=-23.72867316,-46.43069787;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.22.00766;Remoção de Poste;01/08/2026;Liberado para Execução;PIE;16552551;356ET160625;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.59448145;-46.44285049;https://www.google.com/maps/search/?api=1&query=-23.59448145,-46.44285049;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.22.00853;Remoção de Poste;01/08/2026;Liberado para Documentação;PIE;nan;356ET044956;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.5935782;-46.44277104;https://www.google.com/maps/search/?api=1&query=-23.5935782,-46.44277104;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00868;Ligação Nova;01/08/2026;Liberado para Execução;PIE;nan;355ET021670;10:00;15:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.54304968;-46.58510282;https://www.google.com/maps/search/?api=1&query=-23.54304968,-46.58510282;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.01988;Reforma de Rede Secundária;01/08/2026;Liberado para Execução;PIE;16548370;355ET022439;10:30;14:30;ZZOUT-PSC Alpitel Área 9;LES;-23.57482076;-46.53350947;https://www.google.com/maps/search/?api=1&query=-23.57482076,-46.53350947;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.24.06688;Rede Compacta;01/08/2026;Liberado para Execução;PIE;16543561;257BF061113;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.63003325;-46.62095256;https://www.google.com/maps/search/?api=1&query=-23.63003325,-46.62095256;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.24.06715;Rede Compacta;01/08/2026;Liberado para Execução;PIE;16543561;257BF061113;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.63003325;-46.62095256;https://www.google.com/maps/search/?api=1&query=-23.63003325,-46.62095256;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.25.01112;Remoção de Poste;02/08/2026;Liberado para Execução;FI;16537590;353ET037967;10:00;14:00;Conecta Obras Extras (Área 8B, 9 e 11) NEC;LES;-23.56615283;-46.51199076;https://www.google.com/maps/search/?api=1&query=-23.56615283,-46.51199076;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02551;Segurança Operativa;02/08/2026;Liberado para Documentação;PIE;nan;356ET160585;10:30;14:30;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.59697015;-46.45766404;https://www.google.com/maps/search/?api=1&query=-23.59697015,-46.45766404;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02574;Segurança Operativa;02/08/2026;Liberado para Documentação;PIE;nan;356ET160585;10:30;14:30;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.59697015;-46.45766404;https://www.google.com/maps/search/?api=1&query=-23.59697015,-46.45766404;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02575;Segurança Operativa;02/08/2026;Liberado para Documentação;PIE;nan;356ET160585;10:30;14:30;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.59697015;-46.45766404;https://www.google.com/maps/search/?api=1&query=-23.59697015,-46.45766404;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02576;Segurança Operativa;02/08/2026;Liberado para Documentação;PIE;nan;356ET160585;10:30;14:30;Engelmig (Área 11) NEC e UPS;LES;-23.59697015;-46.45766404;https://www.google.com/maps/search/?api=1&query=-23.59697015,-46.45766404;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
