Projeto,Tipo de Serviço,Data Prog.,Status,Intervenção,PowerON,Equipamento,Horário Início,Horário Fim,Parceira,Região,Latitude,Longitude,Link Google Maps URL,Link My Maps URL
DAC/A.NOR.25.01454,Alteração de Carga,10/07/2026,Liberado para Execução,FI,16406782,151ET024726,10:00,12:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.56820051,-46.66521866,"https://www.google.com/maps/search/?api=1&query=-23.56820051,-46.66521866",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01413,Ligação Nova,10/07/2026,Liberado para Execução,FI,16407275,257ET018850,14:00,16:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.56480511,-46.61819248,"https://www.google.com/maps/search/?api=1&query=-23.56480511,-46.61819248",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01640,Alteração de Carga,10/07/2026,Liberado para Execução,FI,16406867,251ET017258,10:00,12:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.60297153,-46.6715773,"https://www.google.com/maps/search/?api=1&query=-23.60297153,-46.6715773",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01551,Ligação Nova,10/07/2026,Liberado para Execução,FI,16406952,257ET030284,14:00,16:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.5852813,-46.63731918,"https://www.google.com/maps/search/?api=1&query=-23.5852813,-46.63731918",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.24.00614,Afastamento de Rede (Clientes),10/07/2026,Liberado para Execução,BRA,16457845,356ET029459,09:00,16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.5977508,-46.45817853,"https://www.google.com/maps/search/?api=1&query=-23.5977508,-46.45817853",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.24.00535,Afastamento de Rede (Clientes),10/07/2026,Liberado para Execução,BRA,16457845,356ET029459,09:00,16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.5977508,-46.45817853,"https://www.google.com/maps/search/?api=1&query=-23.5977508,-46.45817853",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01770,Ligação Nova,03/07/2026,Liberado para Execução,BRA,16412745,351EP050955,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.47014296,-46.65400959,"https://www.google.com/maps/search/?api=1&query=-23.47014296,-46.65400959",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.03039,Rede Compacta,09/07/2026,Liberado para Execução,FI,16414844,356ET160405,10:00,14:00,Engelmig (Área 11) NEC e UPS,LES,-23.57485077,-46.44484487,"https://www.google.com/maps/search/?api=1&query=-23.57485077,-46.44484487",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.03051,Rede Compacta,09/07/2026,Liberado para Execução,FI,16414844,356ET170764,10:00,14:00,Engelmig (Área 11) NEC e UPS,LES,-23.55548333,-46.4769398,"https://www.google.com/maps/search/?api=1&query=-23.55548333,-46.4769398",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00226,Ligação Provisória,06/07/2026,Liberado para Execução,OLVR,,251EP007509,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.63587784,-46.65477446,"https://www.google.com/maps/search/?api=1&query=-23.63587784,-46.65477446",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
