Projeto,Tipo de Serviço,Data Prog.,Status,Contrato,OS,Equipamento,Região,Início Prog.,Fim Prog.,Parceira,Latitude,Longitude,Link Google Maps
DAC/A.NOR.25.01100,Afastamento de Rede (Clientes),14/06/2026,Liberado para Execução,PIE,16250180,251CF010874,NOR,14/06/2026 10:00,14/06/2026 14:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.62664226,-46.66154939,"https://www.google.com/maps/place/-23.62664226,-46.66154939"
DAC/A.NOR.26.00470,Migração para Média Tensão,09/06/2026,Liberado para Execução,FI,16267441,257CT004094,NOR,09/06/2026 10:00,09/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.58807693,-46.63280266,"https://www.google.com/maps/place/-23.58807693,-46.63280266"
DAC/A.NOR.24.01193,Ligação Nova,09/06/2026,Liberado para Execução,FI,16271082,354ET142601,NOR,09/06/2026 10:00,09/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.50112102,-46.63084855,"https://www.google.com/maps/place/-23.50112102,-46.63084855"
DMP/A.LES.24.04868,Reforma de Rede Secundaria RTRI,12/06/2026,Liberado para Execução,FI,16280902,353ET002493,LES,12/06/2026 10:00,12/06/2026 14:00,Engelmig (Área 11) NEC e UPS,-23.52380116,-46.61709042,"https://www.google.com/maps/place/-23.52380116,-46.61709042"
DAC/A.LES.25.00538,Ligação Nova,13/06/2026,Liberado para Execução,FI,16285228,353ET004346,LES,13/06/2026 10:00,13/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.53874921,-46.5617798,"https://www.google.com/maps/place/-23.53874921,-46.5617798"
DAC/A.NOR.23.00864,Afastamento de Rede (Clientes),09/06/2026,Liberado para Execução,FI,16267494,351ET020667,NOR,09/06/2026 10:00,09/06/2026 14:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.LES.25.00895,Ligação Nova,13/06/2026,Liberado para Execução,FI,16285228,353ET004346,LES,13/06/2026 10:00,13/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.53874921,-46.5617798,"https://www.google.com/maps/place/-23.53874921,-46.5617798"
DMP/A.LES.25.03609,Reforma de Rede Secundaria RTRI,12/06/2026,Liberado para Execução,FI,16265905,010ET029913,LES,12/06/2026 10:00,12/06/2026 14:00,Engelmig (Área 11) NEC e UPS,-23.68743942,-46.51906464,"https://www.google.com/maps/place/-23.68743942,-46.51906464"
DAC/A.LES.26.00339,Ligação Nova BT  Universalização,11/06/2026,Liberado para Execução,FI,16277206,356ET018899,LES,11/06/2026 13:00,11/06/2026 16:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.62309608,-46.41884274,"https://www.google.com/maps/place/-23.62309608,-46.41884274"
DAC/A.NOR.25.00174,Ligação Nova,09/06/2026,Liberado para Execução,FI,16267139,351BF052629,NOR,09/06/2026 10:00,09/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.44240941,-46.75586264,"https://www.google.com/maps/place/-23.44240941,-46.75586264"
DAC/A.NOR.25.01660,Ligação Nova,09/06/2026,Liberado para Execução,FI,CANCELADO,257ET035052,NOR,09/06/2026 10:00,09/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.57967061,-46.64236825,"https://www.google.com/maps/place/-23.57967061,-46.64236825"
DAC/A.NOR.25.01328,Ligação Nova,09/06/2026,Liberado para Execução,BRA,16301142,251ET122137,NOR,09/06/2026 08:00,09/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.60782985,-46.6915709,"https://www.google.com/maps/place/-23.60782985,-46.6915709"
DAC/A.NOR.25.00188,Ligação Nova,09/06/2026,Liberado para Execução,BRA,16301268,257ET033699,NOR,09/06/2026 08:00,09/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.59644125,-46.6257933,"https://www.google.com/maps/place/-23.59644125,-46.6257933"
DMP/A.NOR.26.02176,Reforma de Rede Secundaria RTRI,09/06/2026,Liberado para Execução,FI,16276320,354ET035295,NOR,09/06/2026 10:00,09/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.46850464,-46.63129935,"https://www.google.com/maps/place/-23.46850464,-46.63129935"
DAC/A.NOR.26.00363,Remoção de Poste,10/06/2026,Liberado para Execução,FI,16272671,257ET004352,NOR,10/06/2026 10:00,10/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.62268617,-46.61340556,"https://www.google.com/maps/place/-23.62268617,-46.61340556"
DAC/A.NOR.25.01123,Ligação Provisória,09/06/2026,Liberado para Execução,BRA,16301551,351ET141253,NOR,09/06/2026 08:00,09/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.48853682,-46.70609161,"https://www.google.com/maps/place/-23.48853682,-46.70609161"
DAC/A.LES.25.00984,Ligação Nova,12/06/2026,Liberado para Execução,FI,16281320,352ET161085,LES,12/06/2026 03:30,12/06/2026 05:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.48861356,-46.50116521,"https://www.google.com/maps/place/-23.48861356,-46.50116521"
DAC/A.NOR.26.00458,Ligação Nova,09/06/2026,Liberado para Execução,FI,16286747,261ET079617,NOR,09/06/2026 10:30,09/06/2026 14:30,"Alpitel Energy (Área 7, 8A e 10) NEC",-23.66260829,-46.6756688,"https://www.google.com/maps/place/-23.66260829,-46.6756688"
DAC/A.LES.25.00994,Ligação Nova,12/06/2026,Liberado para Execução,FI,16281320,352ET161085,LES,12/06/2026 03:30,12/06/2026 05:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.48861356,-46.50116521,"https://www.google.com/maps/place/-23.48861356,-46.50116521"
DAC/A.NOR.26.00397,Ligação Nova,09/06/2026,Liberado para Execução,FI,16286747,261ET079617,NOR,09/06/2026 10:30,09/06/2026 14:30,"Alpitel Energy (Área 7, 8A e 10) NEC",-23.66260829,-46.6756688,"https://www.google.com/maps/place/-23.66260829,-46.6756688"
DAC/A.NOR.24.00753,Ligação Nova,10/06/2026,Liberado para Execução,FI,16272647,257EP029237,NOR,10/06/2026 10:00,10/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.LES.25.01241,Ligação Nova,11/06/2026,Liberado para Execução,FI,16258560,356ET163170,LES,11/06/2026 10:00,11/06/2026 13:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.57727653,-46.38286587,"https://www.google.com/maps/place/-23.57727653,-46.38286587"
DAC/A.NOR.26.00012,Alteração de Carga,10/06/2026,Liberado para Execução,FI,16275394,354ET013532,NOR,10/06/2026 13:30,10/06/2026 15:30,Conecta Obras (Área 4 e 5) NEC,-23.46481162,-46.66664822,"https://www.google.com/maps/place/-23.46481162,-46.66664822"
DAC/A.NOR.25.01759,Alteração de Carga,10/06/2026,Liberado para Execução,FI,16272805,257ET027757,NOR,10/06/2026 10:00,10/06/2026 12:00,Conecta Obras (Área 4 e 5) NEC,-23.59128861,-46.65408642,"https://www.google.com/maps/place/-23.59128861,-46.65408642"
DAC/A.NOR.25.01598,Ligação Provisória,13/06/2026,Liberado para Documentação,BRA,,257EP029088,NOR,13/06/2026 08:00,13/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.56117369,-46.6164272,"https://www.google.com/maps/place/-23.56117369,-46.6164272"
DAC/A.NOR.25.00924,Ligação Nova,10/06/2026,Liberado para Execução,BRA,16304363,257ET039146,NOR,10/06/2026 08:00,10/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.59138748,-46.63742926,"https://www.google.com/maps/place/-23.59138748,-46.63742926"
DAC/A.LES.26.00386,Alteração de Carga,13/06/2026,Liberado para Execução,FI,16276089,356ET010796,LES,13/06/2026 10:00,13/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.52558729,-46.45345173,"https://www.google.com/maps/place/-23.52558729,-46.45345173"
DAC/A.NOR.25.01571,Remoção de Posto Primário,10/06/2026,Liberado para Execução,BRA,16304410,257ET028811,NOR,10/06/2026 08:00,10/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.LES.26.00625,Ligação Nova,06/06/2026,Liberado para Execução,FI,16271106,ET-161139; ET-166978,LES,06/06/2026 10:00,06/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.60898652,-46.40844553,"https://www.google.com/maps/place/-23.60898652,-46.40844553"
DAC/A.NOR.25.01237,Alteração de Carga,11/06/2026,Liberado para Execução,FI,16276768,251ET030291,NOR,11/06/2026 10:00,11/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.59768851,-46.67077542,"https://www.google.com/maps/place/-23.59768851,-46.67077542"
DAC/A.NOR.25.00075,Ligação Nova,10/06/2026,Liberado para Execução,BRA,16304670,351ET132907,NOR,10/06/2026 08:00,10/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.49382529,-46.69348098,"https://www.google.com/maps/place/-23.49382529,-46.69348098"
DAC/A.NOR.25.00853,Ligação Nova,11/06/2026,Liberado para Execução,FI,16276582,152ET026402,NOR,11/06/2026 10:00,11/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.52370588,-46.66354839,"https://www.google.com/maps/place/-23.52370588,-46.66354839"
