"Projeto";"Tipo de Serviço";"Data Prog.";"Status";"Intervenção";"PowerON";"Equipamento";"Horário Início";"Horário Fim";"Parceira";"Região";"Latitude";"Longitude";"Situação Coordenadas";"Link Google Maps";"Link My Maps";"Origem"
"DMP/A.LES.26.01048";"Rede Compacta";"08/09/2026";"Liberado para Execução";"PIE";"16727515";"356ET167453";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.603673994215";"-46.4129815999408";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.603673994215,-46.4129815999408";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.01049";"Rede Compacta";"08/09/2026";"Liberado para Execução";"PIE";"16727515";"356ET167840";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.6116069017167";"-46.411660361258";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6116069017167,-46.411660361258";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.01762";"Reforma de Rede Secundária";"08/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DMP/A.LES.26.01937";"Religador Automático";"08/09/2026";"Liberado para Execução";"BRA";"16747540";"356ET167764";"09:00";"16:00";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"-23.5755887369285";"-46.4458793415769";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5755887369285,-46.4458793415769";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.ABC.26.00381";"Alteração de Carga";"09/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"ABC";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.25.00354";"Ligação Nova";"09/09/2026";"Liberado para Execução";"FI";"16676051";"356ET020460";"09:30";"13:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.535222205375";"-46.4151792807208";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.535222205375,-46.4151792807208";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.25.00860";"Alteração de Carga";"09/09/2026";"Liberado para Execução";"PIE";"16716620";"353CF150540";"00:30";"04:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5576804811448";"-46.5695597726641";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5576804811448,-46.5695597726641";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00783";"Ligação Provisória";"09/09/2026";"Liberado para Execução";"FI";"16676118";"353ET000638";"09:45";"13:45";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5136845689499";"-46.5505530087614";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5136845689499,-46.5505530087614";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00847";"Ligação Nova";"09/09/2026";"Liberado para Execução";"FI";"16694745";"352ET017568";"10:00";"14:00";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.516476643423";"-46.5099637386806";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.516476643423,-46.5099637386806";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.23.02255";"Rede Compacta";"09/09/2026";"Pendente de Aprovação";"PIE";"";"010ET059230";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.6325994351392";"-46.5359733594676";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6325994351392,-46.5359733594676";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
