Projeto;Tipo de Serviço;Região;Data Prog.;Status;Intervenção;OS;Equipamento;Início Prog.;Fim Prog.;Parceira;Latitude;Longitude;Link Google Maps
DAC/A.NOR.26.00013;Alteração de Carga;NOR;03/07/2026;Liberado para Execução;FI;16371924;351BF051509;03/07/2026 10:00;03/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.46203476;-46.69102878;https://www.google.com/maps/place/-23.46203476,-46.69102878
DAC/A.NOR.26.00391;Alteração de Carga;NOR;03/07/2026;Liberado para Execução;FI;16369844;252ET100494;03/07/2026 10:00;03/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.57187994;-46.68681126;https://www.google.com/maps/place/-23.57187994,-46.68681126
DAC/A.NOR.25.01475;Alteração de Carga;NOR;03/07/2026;Liberado para Execução;FI;16370015;257ET070816;03/07/2026 10:00;03/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.57073959;-46.65045909;https://www.google.com/maps/place/-23.57073959,-46.65045909
DAC/A.NOR.26.00606;Alteração de Carga;NOR;03/07/2026;Liberado para Execução;FI;16372140;351ET022150;03/07/2026 10:00;03/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.49321442;-46.6870204;https://www.google.com/maps/place/-23.49321442,-46.6870204
DAC/A.NOR.25.01541;Ligação Nova;NOR;03/07/2026;Liberado para Execução;FI;16369554;152ET039164;03/07/2026 10:00;03/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.5182822;-46.66943855;https://www.google.com/maps/place/-23.5182822,-46.66943855
DAC/A.NOR.25.01755;Alteração de Carga;NOR;03/07/2026;Liberado para Execução;FI;16394311;351ET001280;03/07/2026 10:00;03/07/2026 13:00;Conecta Obras (Área 4 e 5) NEC;-23.47623198;-46.6908768;https://www.google.com/maps/place/-23.47623198,-46.6908768
DAC/A.LES.26.00665;Ligação Provisória;LES;03/07/2026;Liberado para Execução;FI;16374101;355ET171514;03/07/2026 10:30;03/07/2026 14:30;Alpitel Energy (Área 7, 8A e 10) NEC;-23.55588454;-46.54273846;https://www.google.com/maps/place/-23.55588454,-46.54273846
DAC/A.LES.25.00923;Migração para Média Tensão;LES;04/07/2026;Liberado para Execução;PIE;16400898;352ET005860;04/07/2026 00:29;04/07/2026 04:30;Start Engenharia (Área 8B, 9  e 11) NEC;-23.50177441;-46.442595;https://www.google.com/maps/place/-23.50177441,-46.442595
DAC/A.NOR.25.00075;Ligação Nova;NOR;04/07/2026;Liberado para Documentação;BRA;;351ET132907;04/07/2026 07:59;04/07/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.49382529;-46.69348098;https://www.google.com/maps/place/-23.49382529,-46.69348098
DAC/A.LES.25.01128;Ligação Nova;LES;04/07/2026;Liberado para Execução;FI;16306194;010ET005790;04/07/2026 10:00;04/07/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.65223172;-46.53791987;https://www.google.com/maps/place/-23.65223172,-46.53791987
